X,optimizer,own_best,n_lrs_within_threshold,log10_basin_width
0.05,adamw,1.5149565815925599,5,1.4999694658161258
0.05,sgd,1.5391341507434844,3,0.7499938278694629
0.05,nero,1.5566974878311157,2,0.37503072920782565
0.05,muon,1.4942255278428396,5,1.495067543865141
0.1,adamw,1.5149565815925599,5,1.4999694658161258
0.1,sgd,1.5391341507434844,3,0.7499938278694629
0.1,nero,1.5566974878311157,2,0.37503072920782565
0.1,muon,1.4942255278428396,5,1.495067543865141
0.2,adamw,1.5149565815925599,6,1.8749255675674736
0.2,sgd,1.5391341507434844,4,1.1250245570772885
0.2,nero,1.5566974878311157,4,1.1249794370892727
0.2,muon,1.4942255278428396,6,1.874992594804016
