hidden_mass,seed,diverged,steps_completed,best_val_loss,final_val_loss,wall_clock_seconds
0.25,0,False,500,2.4496578216552733,2.4496578216552733,15.35538101196289
0.25,1,False,500,2.4470004558563234,2.4470004558563234,15.19204831123352
0.25,2,False,500,2.4604105234146116,2.4604105234146116,15.113396406173706
0.5,0,False,500,2.4166473150253296,2.4166473150253296,15.067286491394043
0.5,1,False,500,2.4178892970085144,2.4178892970085144,15.049306631088257
0.5,2,False,500,2.434884226322174,2.434884226322174,15.087179899215698
1.0,0,False,500,2.3506336569786073,2.3506336569786073,14.865124464035034
1.0,1,False,500,2.363024687767029,2.363024687767029,15.232184886932373
1.0,2,False,500,2.382965636253357,2.382965636253357,15.053451538085938
2.0,0,False,500,2.2741109490394593,2.2741109490394593,15.233521461486816
2.0,1,False,500,2.283792865276337,2.283792865276337,15.235584735870361
2.0,2,False,500,2.2926536560058595,2.2926536560058595,15.165733814239502
4.0,0,False,500,2.226205825805664,2.226205825805664,15.232604026794434
4.0,1,False,500,2.22893682718277,2.22893682718277,14.98629117012024
4.0,2,False,500,2.2357982635498046,2.2357982635498046,15.229722023010254
